,Text,Analysis
12879,hubby is snoring!  but I still love him,1
12880," great interview, your videos are my favorite on youtube",1
12881,Just found out I have to leave my lovely flat!! And been waiting 2.5 hours for a plumber. Still no job news.  Not a good day,1
12882,Mikey I`m bored,0
12883,ya could hit me up on aim or here cause i am mad bored nuttin 2 do,0
12885,Its already been a crazy morning and its ONLY 1030,0
12886,Sephora is having a 75% off sale. And I`m so broke  Life isn`t fair.,1
12888,Finally made it to JP Licks in Coolidge Corner for some Oreo soft serve   ,1
12889," why, hello there  How`s life on the other side of the screen?",0
12890,"going crazy, the pain is unbearable..& i gotta wait till thursday!?",0
12891, I made my parents add u guys on the family myspace...they were impressed by the song.,1
12892,I received some excellent birthday presents!  Party was the usual success.,1
12893,"Nothin better then ridin in a car with your sister while blasting TH, CB and Lady Gaga so loud you cant hear yourself screamin the lyrics",1
12894,its too early to be up! wishes i could sleep in today,1
12895,Just took my IC photo!looks good  - ,1
12897,Aww man.  arrived. How-To Guide-less,1
12899,tweep tweep haha,1
12900,  Does anyone update the photowalkingutah google calendar with photowalks?  Looks like I`ve missed a few,0
12901, Ahh thats where i go the 6 year old fact. good old radio one!  what exams do you have tomorrow?,1
12902, when you haven`t had one in over a week! that was a really mean joke he just played on me!,0
12904, Soooooooooo win the PowerBall jackpot then impose your formidable will upon the weather,1
12906, it can only get better.,1
12907, why do you hate me!?,0
12908," I love my mom, she`s the best mom on the planet",1
12909,@ inthebattle its really cute. One of my favorites.,1
12911,Expected a Silverlight content on M$ Vine site  ... they realized the reach of Flash LOL,1
12914,  im going to my inlaws tonight.  hopefully my new niece will be there!  who needs kids when my inlaws have them all for me!,1
12917,loves my new twitter background...my two heros...wichita and kraussey!  haha,1
12918,ahh yes the obligations of a vampire kept me away from twitter.but now i`m back & will try 2 update as much as possible.i lost a donor,1
12919, I would but I`m afraid I got two left feet,0
12920,heyyy where`d my tweet go?  *shouts to  bc her lists are always amazing!,1
12921,Open office 'writer' is weird. I need Word to open word documents correctly,0
12922," I recommended .net, I guess since they bought something from you they featured you. Hopefully it brings in more business",1
12923,"Going to bed, busy day tomorrow...Happy Mother`s Day Madre! Te Amo!",1
12924, Haha!  I`m convinced you`d be great at it.,1
12925,My lesson is finally done for tomorrow morning. I am looking forward to speaking to the high schoolers on dating.,1
12926,just got home from a partyyyy. had a good time. can`t wait for my birthday in 7 days!,1
12927,Just ate at chipolte... Ate more than i usually do... Now i`m ew full... Not content full but ew full...,1
12928,"But now talking about today, Oh my GODNESS! Problems, problems, problems. about love, money, math, parents.....that`s enough, isn`****?",1
12929,almost done with my first day at the spa...I missed this place! Then headed to Fort Collins to close down casa de kent,1
12930,the low point: a poor pigeon outside my building isn`t capable of flying. It`s just wandering up and down the sidewalk. so sad,0
12931," yeah, it`s tragic  i need a haircut",0
12933,I hate PC,0
12935, very cool,1
12936,"i`m actually starting to quite like lily allen and her music, to be honest.",1
12937, That`s great! I will have to do the same as I was forced to miss it. I had to leave for work.,1
12940,"success! after much grumbling abt how we always waste money on useless gifts, mum sees the ipod nano and loves it",0
12941, Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,1
12942,Woke up early!! Dang man I know i`m not going back to sleep,1
12943,After hearing susan boyle sing she came off as the most beautiful person i`d ever seen. i feel bad for my first impression though,1
12944,Just watched Star Trek. A+! That was so well done. I think I`m down to see it again. Who wants to join me?,1
12945,_McFly LOL nah ! of course you`ll get the DVD first since you`ve already ordered it. i`ll sign up to Bebo on Tuesday then! lol  ****,1
12946, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0
12947,Two more loads and the moving crew`s done! Started at 7am and i`m done for the day! Too bad the ac doesn`t work in my new place  oh life!,1
12948,Yeah. It`s sad.,0
12951,Up was pretty good. It was kind of depressing though,1
12952,"everybody is awake (well not everybody, u know what i mean. ma friends) haha, and I`m having fun AIMing them",1
12953, Have a great night!,1
12954,"Heyy, Im Not feeling so good cuz of wat happened yesterday in the car accdentt.",1
12955, well you can  lol,1
12957,oh godddd I coughed up a little bit of taco,0
12958, - New forest hoping the walk would lose me some pounds,1
12959,yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk,1
12960,Just ran hair first into spiderweb full of baby spiders...i almost set my own hair on fire to get rid of them! Almost.,1
12961," Unfortunately, I didn`t do it on purpose - itunes shuffle did it. It followed up with Dreadzone, so no life-ruin music-trauma.",0
12963,"just got a haircut, NOT happy!",0
12965,was laughed at today for being too hopeful with the things...,1
12966," those cakes sure look good ,,took one if it`s ok with you  ummm good tks",1
12967, did you have an amazing time?,1
12968, wow! that is an *awesome* review; carry it with you everywhere; laminate it; read it when down;just plain cool,1
12969,Listening to: Sweet Talk 101 - Cute Is What We Aim For /// Considering taking up the GameBoy Color again. I miss chiptune.,1
12970,Watching mens volleyball on TV.  For some reason its not as good as womens beach volleyball.  Cant quite place why,1
12972,"Hello!Im back andIm drunk,  and as much asI love my friends,I hate how they unintentionally make me feel inadequate.Ineedhelp",0
12973, You`re welcome! It`s been a wonderful day  How about you? Stayin outta trouble or should I be ready to crash a party? LOL,1
12975, sounds like a great way to to start mothers day! Enjoy your day,1
12976,Is sooo waking both of them up on my way back to SB  good night america,1
12977,     I LOVE YOU GUYS! get your **** to australia in december for my birthday,1
12978,I really fancy a frappuccino from Starbucks right now,1
12979,It`s a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,0
12980,Ok the thunder is scaring me,1
12981, at least you have a next year  into the big wide world for me!,0
12982, I love to Read  And i love Film making,1
12983,I hate TweetDeck when it reaches access limits,0
12984,"the next 2 weeks, exam wise, are AWFUL. there are 8 exams and I don`t see how I can adequately revise all of them  I care least about...",0
12985,Haha Ashley tisdale is on again,1
12987,"TodaY was better. My Panda can eally cheer me up. I dont know, I am Happy, Like the legit happy.",1
12990, glad its nice there. Gray skies and rainy in wisconsin.,1
12992,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place",0
12996,"_TheMovie That`s what I get for writing up my Halloween interview w/ Danielle Harris. Darn, I was too late for the contest!",0
12997,"slept in, missed bus, train delayed, doesn`t stop at my stop, late for work. **** heelllll",0
12999, Happy Mother`s Day!!,1
13000,"Law of Attraction - Some assembly (action) required  If u have asked 2 enter medical school, u still need 2 fill out the application",1
13001,I actually drove in today - no incidents to report  to quote Ice Cube - Today was a good day,1
13002,Conference call arranged for 4.30pm today just blew my leaving early out the window,1
13006,up.....i nEEd coFFee. b0ut2get ready2start this new day in my lie,1
13007,I`m a fat and sad puffyn now,0
13008, Sadly no robot songs in my library.,1
13009, Good luck.. I have still to get wireless working post IT6,1
13010,Earthlink says our modem is dead.  They want me to buy a new one or sign up for a one year contract ARGH!!!,1
13011,"  yes I can imagine, I need my morning coffee otherwise I cannot function, have a good and relaxing Sunday",1
13012,"Come an add, new twitter.  Only for fans.",1
13013,Currently in costa coffee  im liking this place more and more. Were sat in the business lounge. ooo were businessy today.,1
13014,last night sucked... too many bad dreams about spiders and rogue octupi,0
13015,"_gal of course! *cough* I mean, no, 1.5 hours extra testing and debugging time",0
13016, That would have been fun BUT we were soooo TIRED yesterday.  Long day at the office. Just did dinner and crashed.,0
13017,  - WOW this looks incredible! wicked job on the butterflies! they`re fantastic!,1
13018," OMG! Taylors in London! Your near Scotland, please come visit Glasgow",1
13019, want to hear something funny? I`m yours is on the radio right now!,1
13020, I agree! && I like the new pic!,1
13022, Yeah daw. Awww...  Wear a mask na!,1
13024," Blow me away it IS raining harder here. Yay you, well done",0
13026,drinking lemsip cause apaently i need ittt! IM NOT SICK,1
13027,"watching Season 2, episode 1 of House before bed... what a great bedtime story",1
13028," that would be awesome i think, i hate how expensive phones are",0
13029," Masson I`ll give you the link, it`s quite handy",1
13030," - try thinking of something calm and peaceful, such as relaxing on the beach.",1
13032,Step-by-step I`m leaving it all behind,0
13035,A very exciting week,1
13036, Hey - Thank you!x and You`re Welcome! Must say - I love to travel and where are you at the moment?!x,1
13037,if i ran the mile to mcdonalds and ran the mile back would that burn off a double sausage and egg mcmuffin lol,1
13039,and now i smell pancakes...or maybe toast... or something delicious. but no one is at my place cooking,1
13040,"How come it`s so cold now?! A few days ago it was wicked nice out, now I feel like I need my winter coat back.",0
13042,wikileaks geht wieder  super  ,1
13043,i have three hours to do my hair. and it STILL won`t be straight,1
13045,I want my real keys back,1
13049," yes! it`s on youtube  its from may 7th, and it made me feel 100x better. it`s halarious.",1
13050,On her way home from prom  so fun!,1
13052,he just fully yelled  saying dnt be so fcking stupid grow up! stop with this band **** then... throws the remote at me thnks love u2,0
13053,LIVE NOW  LIVE! )  DJ JAYEM B2B E.S.R  Click : ,1
13054, lol haha fresh to death lol ha ha I love and miss u 2 id almost given ï¿½ on u cuz u nvr respond 2me  but u did today! Luv u2,1
13055, I am so so sorry to hear that he has parvo. Good vibes comming your way.,1
13056,im on twitter mobile... confusin!!!! lol im knda slow,1
13057, oh that makes sense! Well you are officially my first  from a celebrity!!,1
13058,Wanting to go out... apparently no ones available!,1
13062,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",0
13063,WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,1
13064,"ya know why today sucks? its been raining, we have no $, & no possibility of a magic friday.  so whats goin down tonight?",1
13065, i cant believe you are closing 2moro and ive never had a chance to see the show  Good luck to everyone - you are all stars!,1
13066,Really? 87 degrees as the high and I`m on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,1
13068,In my nice big bed....ipod on play....soft music flowin....sooooon will be in Fancys dream land,1
13069,Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year,0
13070,_k good question  could they?,1
13071,"P9 for Danica and your team... Not the end of the world, now is just hopes for a great race",1
13073,having a good day at work lots of sales but boss is under foot.   she`s a nice person but i dont like the boss bugging me,1
13074," pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",0
13078,Was watching  downstairs  Now getting ready for bed. Piano in the morning.,1
13079,My mind is calm & my heart is happy.. Life is good.  ? Would it be ok if I took your breath away? ?,1
13082,Love thy self. Keep it simple. Learn Tai Chi. Those are my aims today. Beat up ankle is less swollen  I am on a no negotiation vacation!,1
13084,"i had a dream last night, and i was singing  first avid dream of myself crooning away!",1
13090,Trued a rim!  I`m getting good at this! o_O,1
13091, I know!  I loved it.,1
13094," I`ll try that, thanks",1
13095,had a very interesting day yesterday... wondering if today will be just as crazy. Hope not. Still diggin` Spartacus!.. aka: Mike-E!!!,0
13098,"  told you, you would sweep haha :-p",1
13099, I follow u lol,1
13100, happy to help,1
13101, my riding time has been dismal too during these rainy weeks.  haven`t been able to make myself to go to the gym instead.,1
13106,Why do none of my thoughts make sense when I`m sober?,1
13107, cool. looking forward. san francisco was really nice. didn`t make it out to napa though  maybe next time.,1
13112, Bummer   was going to try and make it/ other commitments I`m afraid got into the way.  Next time hopefully-,0
13113, What kind of help do you need with Machine embroidery?  I may bea able to help,1
13114,no more twitter in a while   .. tweet tweet,0
13115,Britain`s got (good) Weather. I wish I had some of that over here.,1
13116, not really sure. need to deposit and save some money,0
13117, Awww!!,1
13119,"GoodMorning, Hope Everyone Has A Beautiful Day Today  x",1
13121,The bunuelos were a huge hit but i had to skip shopping afterwards.  let`s see what kind of trouble i can get into here...,1
13122,watching missy elliot video collection so sad I was told that I looked like her all through high school,0
13123, i love them,1
13124, ...thanks for the shout out...you might be right about the starving thing....     little lol,1
13127, I wasn`t near him.,1
13129," Hey, you!! ;) Call me this week!! Gotta go hang out ... could use the de-stress!!",1
13131,The frank black (and his wifey) show was aaaaaaaaaamazing  sd trip is made!,0
13132," my internet in like 9th grade was so fast, its dieing out",1
13135,"tired and didn`t really have an exciting Saturday.  oh well, hope it`s better tomorrow.",1
13137,my day is going way too fast,1
13138, hey whats up? did u like the new episode of JONAS?,1
13139, would love a slice of summer from Piper`s lemonade stand! do you think i could have a jump on her trampoline too?,1
13140," In other words, a perfect run, right?",1
13142,"_Coleman Looks a little too 'fried' for me, but you have fun with that, Paul!",1
13144,"Is getting excited for the weekend.......Or, hang on, i am going to be all alone   never mind, excitement lost",1
13145,is sick and it doesn`t seem like i`m getting better,0
13147,{cont} that right their is why fake btches shouldnt mess with Real ones... ahhh I love it Real btches excite me,1
13148,My head hurts beyond much.,1
13149, really? cuz KC.com said it was releasd 24/4 here n the main station doesn`t even hav it,1
13150,At work and really slow for a beautiful day and a Friday.,1
13152, Lucky. Winter is coming for us,1
13154,wellity! i think ima gonna clean my room :| ****. i need to read a good book. sense and sensibility here we come! BEAT THAT LILY  **,1
13155, nah ;) when a single person posts about 200 tweets a day is hard to cope with on my android phone when I`m unable to filter,0
13156,Haha Happy Star Wars Day!  'May the 4th be with you' - clever,1
13160,Tryin to figure out how to direct message and is gettin frustrated,0
13162,At home alone with not much to do,0
13163, CEREAL DOESNT COME WITH TOYS ANYMORE!. i jus been thinkin i was buyin the wrong kinds  say it aint so Mo.,0
13165,HaPPy Mothers Day!!!,1
13169,_Melbourne Sounds good! Say hi if you run into me there! I`m always always having coffee there,1
13170, lOL 518 that was not the year i was born  lol,1
13171,i miss rich,1
13172,"don`t know what to do today.  amazing weather and i`m sitting here, great.",1
13174,"hello new maccy, welcome to your new home",1
13176, I`m sorryyyyyy  I`ll be home as fast as possible where we meeting at?,1
13179," Makes sense, I`d totally show off a girlfriend by asking her to wear her high school prom dress",1
13180,"No burgers to be found. New (old) camera to play with though, so that`s excellent.",1
13181,Happy to see Kurt spin.,1
13184,"all done., time to finally start shuting down",0
13186,Our currency is dropping like nobodies business; not a good time to be going overseas  ,0
13188,_l I got excited when I thought that exhibit was in Sydney. But it`s not,1
13189,Sleepy time! Happy Mothers` Day to current and future moms around the globe!,1
13192,Haavent read the paper yet about the magic loss nor did i get to watch the game last night.... But i do know that we lost,1
13195,I`m glad that all got cleared up.  I lah you!  Idk why Linda hates me though..,1
13196, Adam Lambert rocks!  He must win American Idol!,1
13199,i`m gonna miss eddy if we`re half the country apart,0
13201,"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!",0
13202, I just texted you but I hope you know you are my favorite,1
13203,Ok Twitter - show me what your all about,1
13204,Field day.... Gt class...not winning...,1
13205,Morning y`all. Looking forward to a nice BBQ today. Can everyone follow  please?,1
13207,in a very stress mood,1
13208, not for long goin for some sprints now,0
13210,"  not much blipping lately, but i`ll get onto that for you.",0
13211,"is HOT. Just done some late spring cleaning! About to settle down with a book i can barely read, left my glasses at my mums",0
13212," ew, i used to get 'suicides' in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.",1
13213, Wish I could be there to enjoy a girls day!!!,1
13215,We`ll miss you ...   Those lucky Edmontonians!,1
13216,Wow. Shabu.  And now HIMYM! Really feels comforting,1
13218, she`s hot     What is up w/ all the unknown followers? I`ve got quite a few- no clue as to why they`re following ME.,0
13219," WOOHOO!!!!! nothing says a hot date night than a squeegee! LOL i`m watching Dora on noggin with my 2yr girl, hubs is at work",1
13221,listening to music...feeling kind of down,1
13222, Nice yo!!! Live it for me buddy!,1
13223," Thank you good sir, it has been a surprisingly good afternoon, very productive",1
13225, I could have bought a Vespa with the amount of money I just spent,0
13227,"   you guys were absolutely amazing tonight, as always. thanks for always bringing the dance party.",1
13229," Hmm, tasty!  Going to have curry rice with peas probably. ;)",1
13230,early morning golf on a sunny day,1
13231,"not enjoying this cold, raininy Boston day.  I think my new metal back doesn`t like getting wet. ;-)",0
13232,........ Lala.. Little girl! I love these new songs!   Iï¿½ve answered u ^^ Love to all you freaky twitter guys ;D,1
13234,haha @ playing fall out boy in a bar full of older people.  they`s need to be educate.,1
13235," in fact apparently I was your first follower, 4 before M himself. Um. *embarrassed now*",1
13236,"Is finally back from the dinner party, had fun, Alice had no wine. I proposed...we`re getting married next week on May 15th 2009",1
13237,"watching 'Steel Magnolias' then going to bed. I have to babysit at one tomorrow. then give mommy her gift!  night, <3 peace.love.jonas",1
13238, thank you  You too! I hope this turns out to be a top week for you.,1
13240,"NAPLAN testing, tuesday, wednesday & thursday. i`m afraid about the maths one, english ,not so much",0
13241,I am so bored.  My homework is done for my master`s program and It`s Friday nite wit nutin to do.,0
13242,  bif doesn`t come down far enough south for me,0
13243, well we aren`t normal then because 1. we can`t drive in mexico (you have to be 18) and 2. there are no dairy queens here,1
13244,"I slept entirely too long on my nap, but not long enough at the same time.",0
13245,Found which exit to take. Thanks .,1
13246," thanks for the recommendation!  I was not following, am now",1
13248,is missing Tampa,0
13249, -  i meann look at what i just found lol,1
13250,"_dreamer Wow, you still haven`t gotten them?",1
13251,Off to Dollarama -- I wish I had a new job,1
13253,"TGIF I don`t like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",1
13254,"Wow, can`t believe Monday is here again already. I hope everyone is well today",1
13255,Hoping the day gets better now,1
13256,My car broke down.   Time to start looking at getting another.  If its not one thing its another.,0
13258,:   sorry guys i have to drop out of the trip... some personal commitments..,0
13259,soooo sleepy.  but gotta finish this game.  lol. gettt it cavs!  whoop whoop,1
13260,boo! i can`t sleep again  saying hi to random people,0
13261,Bout to go to bed... Happy Mother`s Day ladies .... especially all th 1s who takin care of thier kids alone..n I Love U Momma,1
13262,Once again I am looking for a new beard - it just fell out the window  Any bright green ones this time?,1
13263,I`m feeling better now that I have something in my tummy,1
13264,juz donated books/mags 4 charity. Not only do I feel good but it gave me a good workout from all that heavy lifting,1
13265, 1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today  Freakin filipino parents AHA,1
13267," yea, I was just about to say something  It`s great to hear! Ukrainian!",1
13268," Awww, thank you!  & you`re welcome lol",1
13270,"With that said, I`m out til later. Enjoy your day everyone!",1
13271,"`s going to Disney World, lucky ****.",1
13272,I feel useless I don`t know what to do right now. I`m so bored,0
13273,Ugh cramps  and it`s hot,1
13274,Getting ready for my graduation party ........(id much rather be at Hello Marquee or Dane Cook),1
13276," ; i think you should come back to brisbane, australia. we loved you here",1
13279, I hate snood. lol. sorrry  i dont know how people play it!,1
13280,_educator Thanks. Photos look great - I`ll comment them asap,1
13281,"What I would have done with legless stillborn spaniels, no idea. BUT I WAS SAD, so now, 20yrs later, strawberries = dead puppies.",0
13283," The best bike for the best guy! I love the Ducati sound. I think itï¿½s unnecessary to ask for a ride, isnï¿½****? Nice vid ...",1
13284,"Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad",0
13286,Good night peeps! Give to your mom`s the greatest love you have   ****,1
13287, John - more present than ever- even online  ,1
13288,Dang! My voice wont came out! And my snots is covering all my tissues... DANGIT! I hate FLU!,0
13290,Watching the Killers on JR. They are awesome. Too late though. They just cut the programme mid song. Twas my favourite too.,1
13291,1.Tiffany is already ten minutes late 2.Reading Flowers in the Attic 3.Late breakfast at Starbucks 4.Listening to Waking up in Vegas,0
13293, Our weekend was also great... two friends of Julia were here for four days...,1
13294,Just one of those days.... I pray it will get better..,1
13295," hmm, okayy, im really sorry to hear about it  why do you thikn she would have done that? :S",0
13297,2 days after  ...i`m still tired,0
13300,Ichigo has been good at Ping&pooping outside but not used to the fact he doesn`t have his sister  lonely puppy,1
13301, ahh I gtg but pls help me with number 3 I`ll come back later to see what u said  haha plz and thank u,1
13302,Is in bed not able to sleep  bloody bipolar!,0
13304,"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",0
13305,Order Pizza from the Pizza Girl!  We have to sing about it!  I love that new song. so excited for the new song from JB PARANOID 4 days,1
13307, fav character  has to be Ashley!  Why? cause she`s awesome,1
13309,I want a Monte Cristo sandwich sooo... BAd!!!,0
13310," Grrr, people suck. I cry when animals die on nature shows.  These people are sick. No hunting endangered species!",0
13311,no clue wtf im doing,0
13314,I love being ignored except to be yelled at. I love my life.,1
13315,Demi is a super girl but she don`t like the french fans,1
13316, I`ve had the week off too...but I have Biology  exams to revise for so my Bones time is limited,0
13317," MISS YOU TOO! Yes, I will  I`m usually free pag after dinner. Rarely during the day. Basta text text",1
13320,D`oh...forgot the ferry turns around before going. So much for sitting in the sun. And the other side deck is closed.,0
13321,Noooooo worst news ever today my tattoo artist is moving omg what am I going to do!?!?!?!?,0
13322,_the_heck Haha LOL @ the english work they doo in college,1
13323,"i want my ben and jerrys now lol, TWEET PEOPLE im bored",1
13326, Thanks I decided to just give up on my old HQ and go with this account. Scoundrels won,1
13328,Omg! Star Wars Day!  May the fourth be with you everyone  This calls for me to watch at least 1 film tonight.,0
13330, hehe true. i wonder what he will come up with,1
13331, sure I would like some cream right now,1
13333, It`s easy.....just turn your keyboard upside down,0
13334, that was an amazing concert!!! got some really good video and pictures,1
13335, What kind of coach would I be if I didn`t read all your tweets?    Still waiting on an non-dried afro picture.,1
13337,What a meeting... YAY more work for me,1
13338,- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. lol  Have a BLESSED morning.,1
13339,_beckwith it cant be that good if your twittering instead of watching it  ****,1
13340,"_joyner And he can`t even tell me.  Me and him are **** done, professionally. ****` ****.",1
13341,misses her phone... having no service sucks,0
13342, im so **** proud of you,1
13343,Is at work  ohwell need money so : D,1
13344,holy ****. where did all my time go? =/ gta4 has sucked away my life.. and wasted a whole week! ...i wish i had more self control,0
13347,My cat died of kidney failure during my math test  This day needs to get better.,1
13349,"is going to be in Cincinnati all day Sunday...visitin` with an old friend/brother from Korea, then a date with someone special",1
13350,Just got home from Stacey`s lovely wedding,1
13351,"probably going to miss Silverstone`s race again this season in iRacing , so sad   this track is pure laser scanned awesomeness",0
13354,  Linda ~ What do you mean by your last post??  It doesn`t sound good,1
13356," thanks, I couldn`t find a way around it on iTunes though, found a little app called Switch that did the job nicely",1
13358, haha kk tell me when u remember,1
13359,"Ordering pizzas, watching Diggnation, trying out Tweetdeck. All is good",1
13361, I`m sorry you`re not having the best day - neither am I though  Are you working tonight??,1
13363, Awww it`s still not the same  I`m going to have a look though.,1
13365, nope  but the T1i looks super sweet!,1
13366,"is watching two + a half men, work experience again tomorrow",0
13367,Just dropped my new mobile down the loo.  Fingers crossed it works as I still have 17.5mths left on the contract,0
13368,Can`t wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.,0
13369, George B Shaw apparently wrote 2000 words a day. Sure practice works- the more you do the more it comes as 2nd nature,1
13371," Ahh that`s fun  I had work last night, a party after, went to the movies today to see Wolverine. Was a good weekend",1
13372,I`ve been dead the past 2 days...the flu sucks,0
13373,  dont make me sad... i do agree tho it does need some more of SA`s magical lyrics,1
13374,"Here comes the sun, here comes the sun, and I say it`s all right",1
13376, looks to be a great morning already!,1
13377, haha  Thanks!,1
13378,"At LA Fitness, at work right now.....pretty busy morning",1
13382,my life is so exhilerating  family kingdom is such a good summer sport!!! and so is swimming in the ocean at night with kristin,1
13383, we are all so proud of you! I am seriously thinking of joining you next year. Got to get training,1
13384,"I`m not going to lie, I`m loving the Ace of Cakes  wooop! LOST!",1
13385, morrissey will cure you  I am jealous. but not in a slash your tyres way just in a hope you enjoy it wish I cuold go way,1
13386,Haha. I just won a $1000 bet. I settled for $100.  Not bad.,1
13388, Good Morning and thanks for the Retweet,1
13391,is  happy  cause  my  voice  is  back  <3,1
13392,Kill me now I`m so sick    n it`s Friday night!!,0
13393,i guess i`ll do both since i cant really decide which one to choose,1
13396,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,0
13397, Lol I Sed Want to Not Ach Dress Up For No Reason. Pleaseeeeeeeeeeeeee Im Bored.  Lol,1
13398, Oh lovely - that is one thing Mum`s are great at!! Sounds yummy!  You are makin me hungry here! lol :-p,1
13399,"Good night everybody, i love u Phillip! XO",1
13400," Yes, I`m originally from Argentina. And very `mystic` about that  ...ï¿½ bientï¿½t de te lire Quincy!",1
13401,Oh MAN !! I was going to connect my old school Nintendo to play mario games. And is not in the bag I gotta search for it.,1
13403, Did you get your free chocolate?!? I still haven`t gotten my email.,1
13404, cool thanks for the response.  I`ll check out that Firefox!,1
13405, good morning sunshine. sleepytown is sleepy.,1
13406," Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",0
13407,I`ve worked my finger tips bare today coding. But we got there.,1
13408,I need to be sleeping.. But i`m not even tired..,0
13412,my followers went from 22 to 20  i`d follow you back but i cant do anything till i get interwebnet! I want more followers. Im interesting!,1
13414,Photo: Great night.  ,1
13415,"_bbA Ooh, nice  Well I guess not nice at the moment, being windy and rainy. But I like rain",1
13416,  but i love your haaaaair!,1
13417," awww poor jayk. :[ try to make the drive fun.and eat something soon!have a great show tonight i wish i could go,i live too far",1
13418,I think I`m about to break my own heart. (as emo as that sounds)... meh.,1
13419,I need to play inFamous... Where`s a free Blockbuster rental coupon when you need one? I miss that Coke Reward,0
13421,.. i am going to fail my art final. FML. this was by far the worst semester of my life school wise- otherwise it was the best,1
13422,Somehow my alarm became an hour fast and I came to realize it as I was leaving the house.. It feels good having an early start,1
13423,Seriously. I dont like girls.,0
13424,This is fun !  haha re guy from all American rejects looks like he`s on crack!!,1
13425,Time to wind down and relax a little.  I can only change the world a little through Twitter each evening.  The rest will be up to others.,0
13427," hahaha. I`m driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!",1
13428, naw...I`ll keep you in. Turns out you have the odd nugget of wisdom.,0
13429,man.....i`m at a loss for words.....looks like i`ma get an unexpected graduation gift.....in a good way,1
13430,"Just watched Mall Cop. Wasn`t that funny, but wasn`t too bad. I guess. I kinda wish I still worked at a movie theater....",0
13433, well gracias  haha and why is that? the plays?,1
13436," See you October! Love the new book, when`s the next one out?",1
13437, LOLOL.. i think it`s funny that about 190 people think you`re lieing about being 'the REAL john barrowman',1
13438,  Thanks darling girl   ****,1
13439,: experiencing the unique  tradition known as 'the social'. Trying to pace myself.,1
13442,"Hey dude who turned down a flyer, you`re a poser and not nice",0
13443,Came back from Bishopstorford! Went to my Aunt`s wedding party by the way. It was fun! I got to see my cousins again after about 3 years,1
13445," Presentation went well  Yes, I also met a buch of cool people. Checked your portfolio, nice work/details in the projects.",1
13447,FB is boring   and i wanna sing RIGHT NOW..! *-*,0
13449,  u guys are soo unfair smh...,0
13453," no idea offhand, but if you keep tweeting about crowdsourcing graphics I`m sure someone will tell you",1
13455,Feelin a little blue tonight.. Love might be good,1
13456,everything is good except that neck shot and Steve`s back of the head shots!,1
13458,"_nickj07 Um....Nicks Voice,Smile,Eyes,Laugh,and Hes a Great Rolemodel",1
13462, feeling any better hon?,1
13465,After 42 hours of not sleeping it is time for bed. Alaska-so far so good,1
13466,"Watching Nemecek go on her computer, fun!  Lol I keed!  Norms was fun",1
13469,aww my son gave me a purple g shock for mother`s day,1
13472, well i miss her i think she would really like it  re:trina,1
13474,"  photos, perhaps?  lol (just itching to see them!)",1
13475,not feelin so hot,1
13476,_mejer I couldn`t remember what all the different cords meant. I lost half of them leaving the graduation anyway.,0
13477, Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL,1
13478,I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,0
13480,"Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.",0
13481,Last day I`m LA. I am so so sad,0
13484, College cops: they get suspicious when they see more than one person in a group together.,1
13485,"Im feeling so nostalgic. Im sad. But happy. I don`t now how to feel. It`s over, but not at the same time. It just feels over.  i love you.",1
13486," I do too, but not heavy rain, which we`ve had 4 more than a wk.",1
13488, I suppose it has a certain 80`s charm. I`d personally hold out for the motorola 8 track phone. I like my phones chunky,1
13489, what do you mean jorx?,0
13490,I hope they re-run this nerdprom later-  sounds like they`re having LOTS of fun.  Thanks all for the play-by-play,1
